amount,hour,category,lat,lon,is_fraud
14.61,9,Entertainment,3.9441,101.549,0
22.95,21,Food,4.1324,101.6243,0
29.1,11,Transport,3.5038,101.4755,0
20.36,17,Entertainment,3.2106,101.582,0
10.89,22,Telco,4.3735,101.645,0
6.4,14,Entertainment,4.1877,101.4717,0
10.4,11,Food,3.6869,101.3415,0
12.11,23,Grocery,4.4819,101.2262,0
5.0,20,Food,4.1406,101.2307,0
7.03,16,Entertainment,3.3635,101.1773,0
24.87,11,Grocery,4.0741,101.0617,0
20.78,13,Transport,3.3578,101.2076,0
40.23,8,Telco,3.8715,101.4807,0
10.97,22,Food,3.3607,101.3622,0
10.28,22,Telco,4.414,101.0358,0
11.64,18,Telco,3.9407,101.2368,0
22.29,19,Grocery,3.7451,101.2874,0
21.27,20,Entertainment,4.384,101.6552,0
17.86,19,Food,4.2149,101.0075,0
20.06,15,Transport,4.4916,101.2284,0
13.02,19,Telco,4.1022,101.0126,0
27.34,23,Grocery,3.8986,101.0078,0
19.35,15,Transport,3.7671,101.2715,0
27.92,23,Telco,3.6888,101.0116,0
15.64,23,Grocery,3.5049,101.5529,0
25.32,16,Entertainment,4.2386,101.4941,0
29.45,17,Transport,3.3096,101.602,0
5.0,21,Telco,3.9367,101.6405,0
25.46,10,Telco,4.2086,101.2348,0
8.04,15,Entertainment,4.1597,101.3402,0
5.13,11,Telco,3.3275,101.3961,0
21.98,20,Transport,3.9176,101.4177,0
22.35,18,Grocery,3.68,101.1029,0
17.86,21,Transport,3.8807,101.3089,0
3058.08,1,Transfer,44.5629,112.5655,1
17.39,14,Telco,4.3258,101.6172,0
7.91,19,Grocery,4.1816,101.71,0
18.4,10,Entertainment,4.1208,101.0031,0
14.84,8,Food,3.4296,101.5099,0
30.72,15,Entertainment,4.1255,101.2813,0
4.89,9,Transport,4.1382,101.3706,0
22.87,10,Transport,3.8913,101.6713,0
28.76,22,Grocery,4.1868,101.1003,0
25.49,19,Food,3.9154,101.2478,0
4.73,12,Food,4.4714,101.505,0
28.78,18,Grocery,4.4721,101.382,0
18.05,17,Telco,3.2456,101.0642,0
33.34,18,Entertainment,3.872,101.6142,0
15.91,11,Transport,3.9989,101.7755,0
19.29,21,Transport,3.7899,101.3432,0
29.26,19,Entertainment,3.6542,101.7502,0
13.04,10,Transport,3.3246,101.1649,0
18.53,9,Grocery,3.9046,101.0009,0
12.17,10,Transport,3.9889,101.6414,0
199.0,0,Transfer,38.4985,115.8206,1
20.3,20,Food,3.9567,101.2106,0
10.33,15,Food,4.0958,101.6915,0
23.43,13,Grocery,3.1317,101.3316,0
12.74,10,Entertainment,3.9918,101.5735,0
2.0,17,Grocery,3.7109,101.3484,0
24.15,19,Entertainment,4.3152,101.2957,0
2.82,18,Entertainment,3.8083,101.1655,0
19.32,13,Grocery,3.4193,101.0242,0
9.6,22,Entertainment,3.1917,101.6563,0
11.84,16,Grocery,3.4266,101.5869,0
19.35,19,Grocery,4.2067,101.55,0
17.68,8,Grocery,3.1765,101.2272,0
28.43,23,Grocery,3.7805,101.2427,0
19.09,16,Grocery,4.3869,101.4683,0
31.87,11,Entertainment,4.0526,101.1466,0
2.39,22,Entertainment,3.4904,101.0139,0
26.33,15,Food,3.1679,101.3024,0
31.97,8,Transport,3.5725,101.2835,0
5.68,12,Food,3.3956,101.5418,0
13.12,22,Food,4.2804,101.6451,0
15.8,16,Telco,3.6576,101.3922,0
26.48,10,Food,3.2249,101.5562,0
29.03,19,Food,4.4698,101.7061,0
10.89,20,Food,3.2107,101.5582,0
34.35,23,Food,3.9547,101.1444,0
36.04,20,Transport,3.7338,101.4616,0
23.92,19,Grocery,3.5688,101.5437,0
20.86,10,Food,4.3547,101.1867,0
34.38,20,Transport,4.1131,101.0711,0
13.4,13,Telco,3.4902,101.0391,0
35.15,10,Transport,4.4207,101.0827,0
40.44,23,Telco,3.6966,101.0076,0
23.09,11,Transport,4.0493,101.2969,0
10.21,9,Transport,4.4214,101.1698,0
28.03,15,Food,3.3094,101.0947,0
6.99,23,Telco,4.3725,101.1488,0
6.43,10,Entertainment,4.2875,101.744,0
28.34,8,Transport,3.5946,101.1812,0
20.33,21,Transport,3.5746,101.6762,0
17.99,15,Grocery,3.4933,101.3814,0
8.74,10,Grocery,4.4266,101.3323,0
19.49,18,Food,3.2537,101.7146,0
7.67,14,Telco,3.6107,101.6133,0
25.09,22,Grocery,4.2646,101.608,0
34.25,20,Entertainment,3.503,101.157,0
27.94,20,Grocery,3.4528,101.4386,0
29.49,23,Entertainment,3.8247,101.7576,0
13.88,12,Transport,3.7464,101.7601,0
16.98,23,Entertainment,4.3973,101.0109,0
37.58,10,Transport,3.3861,101.6692,0
5.0,22,Food,4.2142,101.314,0
27.13,10,Entertainment,3.8121,101.4709,0
13.7,23,Food,4.3621,101.7305,0
20.26,21,Entertainment,3.4106,101.3132,0
6.93,9,Transport,3.9923,101.6595,0
34.09,9,Entertainment,4.0702,101.1674,0
28.21,11,Food,3.3298,101.4263,0
36.74,19,Grocery,4.2172,101.1727,0
7.31,21,Entertainment,3.1296,101.0202,0
5.0,9,Food,3.2315,101.4736,0
14.76,8,Telco,4.1093,101.696,0
23.75,21,Transport,3.2756,101.6456,0
23.79,22,Grocery,3.1925,101.3124,0
17.28,12,Telco,3.5638,101.7485,0
19.85,20,Transport,3.226,101.5339,0
11.96,11,Grocery,4.3881,101.5868,0
5.0,18,Transport,3.6191,101.3004,0
12.16,17,Food,4.3615,101.4743,0
17.64,15,Grocery,3.1283,101.5383,0
14.43,18,Transport,3.1741,101.0399,0
7.57,10,Telco,4.4795,101.5622,0
18.17,22,Grocery,3.4287,101.0358,0
24.56,20,Entertainment,4.0788,101.7404,0
4594.01,3,Transfer,28.0755,112.7593,1
20.92,23,Grocery,3.912,101.6148,0
13.84,20,Entertainment,4.2114,101.7739,0
27.6,15,Food,3.6441,101.6785,0
31.94,22,Entertainment,3.5658,101.3186,0
199.0,5,Transfer,14.944,113.0792,1
23.14,19,Grocery,4.1283,101.5331,0
26.04,14,Food,3.5073,101.3296,0
5.68,8,Transport,3.4003,101.1019,0
14.27,21,Entertainment,3.4501,101.2004,0
25.89,21,Food,4.3386,101.5516,0
12.2,20,Food,3.3826,101.5166,0
28.21,13,Transport,3.3006,101.4748,0
21.02,14,Entertainment,3.7327,101.5308,0
31.01,13,Food,3.1841,101.6501,0
27.36,21,Grocery,4.0339,101.3244,0
50.71,23,Entertainment,4.1604,101.161,0
20.96,10,Transport,3.5353,101.2328,0
19.4,18,Grocery,4.0732,101.7466,0
31.58,19,Telco,3.6061,101.2839,0
32.4,11,Transport,3.6179,101.023,0
23.21,23,Food,4.4182,101.1123,0
5.0,18,Grocery,3.1698,101.6988,0
5.0,11,Grocery,3.514,101.0803,0
32.0,14,Food,4.2064,101.6675,0
22.04,14,Entertainment,4.454,101.3402,0
18.04,12,Food,4.2213,101.0335,0
29.26,19,Transport,3.7211,101.209,0
23.37,18,Entertainment,3.7528,101.612,0
11.29,20,Transport,4.0508,101.2307,0
23.17,12,Transport,3.1627,101.2126,0
28.23,8,Grocery,3.7275,101.5915,0
25.46,23,Grocery,3.9888,101.7275,0
14.93,10,Telco,3.7772,101.5602,0
34.32,18,Grocery,3.1333,101.506,0
14.8,20,Transport,3.5049,101.6814,0
24.01,13,Entertainment,3.4007,101.4502,0
7.82,13,Entertainment,3.2019,101.5781,0
15.67,19,Entertainment,4.1333,101.0389,0
37.12,21,Food,3.9616,101.1955,0
32.43,17,Grocery,3.5463,101.3522,0
14.65,9,Entertainment,3.8289,101.2698,0
31.21,23,Food,3.5845,101.5661,0
34.19,13,Transport,3.8462,101.4129,0
5.44,14,Transport,4.0021,101.3369,0
10.4,20,Entertainment,4.1164,101.3193,0
27.88,19,Food,3.126,101.1967,0
3.54,22,Transport,4.0236,101.7461,0
23.77,11,Food,3.9551,101.0298,0
13.68,19,Telco,4.4358,101.412,0
19.51,17,Transport,4.1944,101.7789,0
23.63,17,Entertainment,3.9072,101.6288,0
